id,Organisations,Locations
646115,['Aon'],"['Singapore', 'Asia', 'Philippines', 'Malaysia', 'Thailand', 'Indonesia']"
646123,"['Lazada', 'Halodoc', 'Rudijono']","['Ulama', 'Asia', 'Tokopedia', 'Halodoc', 'Australia', 'Indonesia', 'China']"
646103,"['app', 'PTW', 'AI']","['Singapore', 'AI', 'Novade']"
645983,"['Sony', 'Samsung', 'SOV', 'Apple', 'Galaxy']","['Asia', 'Tech']"
645843,"['app', 'AR', 'Commune', 'Castlery', 'HoloAnatomy', 'Ikea']","['US', 'Singapore', 'Asia', 'Fabelio', 'Tech', 'Indonesia', 'Korea', 'Jakarta']"
646041,"['Alphabet', 'Reliance', 'Facebook', 'SensorTower', 'Innoviti', 'WhatsApp', 'Amazon', 'JioMart', 'Flipkart', 'Google', 'Paytm']","['US', 'Mumbai', 'Asia', 'Bangalore', 'JioPay', 'India', 'Paytm', 'Indonesia', 'China']"
645959,"['Microsoft', 'Citrix', 'Skype', 'Teams', 'Google', 'Apple']","['Cisco', 'Singapore', 'Webex']"
646052,"['Amazon', 'Baidu', 'NetEase', 'Nasdaq']","['Alibaba', 'Ctrip', 'Beijing', 'US']"
646004,"['LMS', 'TukTuks', 'Makro', 'Honda', 'Huamnica']","['US', 'Thailand']"
645995,"['Promaid', 'Vonder', 'Facebook']",['Thailand']
645985,"['BukuKas', 'app', 'WhatsApp']","['Lazada', 'Qoala', 'India', 'Indonesia']"
645935,"['Diviac', 'ZuBlu', 'Divegraphy', 'DeepBlu']","['Asia', 'Taiwan', 'Singapore', 'Betatron']"
645955,"['VC', 'Disney', 'Hotstar', 'Dailyhunt', 'Alibaba']","['Singapore', 'Axinan', 'Asia', 'Unsplash', 'India', 'Alibaba', 'Indonesia', 'Tech']"
645591,"['BNM', 'Setel', 'Google', 'GrabPay']","['BigPay', 'Malaysia', 'Philippines', 'Lazada', 'Setel', 'Indonesia', 'China']"
645941,"['HOTS', 'Xinuc', 'Bukalapak']",['Indonesia']
644473,[],[]
645925,"['Wemakeprice', 'ShopBack']","['Singapore', 'Asia', 'Taiwan', 'Australia', 'Malaysia', 'Philippines', 'Thailand', 'Indonesia']"
645859,[],"['US', 'Zalora', 'Singapore', 'Asia', 'Zilingo', 'Europe', 'Tech', 'Australia', 'Indonesia']"
645797,"['Surge', 'SeedPlus', 'fintech', 'app']","['Qoala', 'Indonesia', 'Jakarta']"
645901,['Helicap'],"['Asia', 'Singapore', 'Indonesia']"
645883,"['app', 'Oriente', 'Skype', 'Prentice', 'Digital']","['AI', 'Finmas', 'Oriente', 'Philippines', 'Malaysia', 'Vietnam', 'Indonesia']"
645832,"['Thinkfluencers', 'Surge', 'Gojek', 'Netflix']","['Mumbai', 'US', 'Singapore', 'Asia', 'Bangalore', 'India']"
645604,"['fintech', 'app']","['US', 'Singapore', 'Asia', 'Taiwan', 'Australia']"
645848,"['Arizton', 'Growthwell']","['Australia', 'Singapore', 'China', 'Brandify']"
645819,"['app', 'Kartik', 'Facebook', 'Surge', 'SQL', 'Atlan', 'Tokopedia', 'BuyMed', 'Southeast', 'healthtech', 'Pencil', 'Google', 'Convosight', 'DrinkPrime', 'Python', 'CoLearn']","['Singapore', 'Asia', 'India', 'Vietnam', 'Indonesia']"
645800,"['app', 'ComCrop', 'Mathur', 'BIF', 'Farmers']","['Singapore', 'Myanmar', 'Asia', 'Woodlands', 'Delhi', 'India', 'Malaysia', 'Thailand']"
645802,"['Surge', 'BuyMed', 'VC', 'Thuocsi']","['Vietnam', 'Hanoi']"
645626,"['Carro', 'VC', 'ShopBack', 'StyleTheory', 'Glife', 'Carousell', 'SGInnovate', 'Xfers']","['Singapore', 'Moovaz', 'Asia', 'India', 'Australia', 'Spain', 'West', 'China']"
504436,[],"['Asia', 'India']"
645774,[],"['Singapore', 'Naluri', 'Malaysia']"
645756,"['Klook', 'Flymya']","['Asia', 'India', 'Myanmar', 'Europe']"
645705,['Ruangguru'],"['flak', 'Indonesia', 'Ruangguru', 'Devara']"
645636,"['GrabFood', 'app', 'Facebook', 'USD', 'SGD', 'WhatsApp', 'Bernstein', 'Grubhub', 'Foodpanda']","['Singapore', 'GrabFood', 'London', 'Oddle', 'Asia', 'Chope', 'Beijing', 'Tech', 'Savefnbsg', 'China']"
645571,"['app', 'Bobble', 'Wassem']","['Singapore', 'AI', 'digitizes', 'Asia', 'India', 'Malaysia', 'Philippines', 'Vietnam', 'Thailand', 'Indonesia']"
645611,"['Bukalapak', 'Sompo', 'PolicyStreet', 'Igloo', 'RedDoorz', 'Allianz', 'Baoviet', 'CTO', 'Grab', 'CXA', 'Digital']","['Singapore', 'Thailand', 'Axinan', 'PolicyPal', 'Mercantile', 'Philippines', 'Malaysia', 'Lazada', 'Vietnam', 'Australia', 'Indonesia']"
644500,"['PayPal', 'eBay', 'LinkedIn', 'Friendster', 'Google']",[]
645570,"['Carlyle', 'Bengaluru', 'Comscore', 'Nokia', 'Bytedance', 'Newshunt', 'SoftBank']","['Belgium', 'India', 'KrAsia']"
645561,"['Starbucks', 'Barclay', 'Nayuki', 'Reuters', 'Omnipork']","['US', 'China', 'Asia', 'KrAsia', 'Weibo', 'WeChat', 'California']"
444418,"['TeamSpirit', 'SaaS', 'Meetups', 'UX', 'MarTech', 'Hospital', 'TBD', 'CRM', 'NHG', 'SGInnovate', 'Health', 'TBC', 'GovTech', 'SEO', 'Community', 'AgriTech', 'SciGlo', 'Meetup', 'ImageNet']","['Omnichannel', 'VC', 'Singapore', 'Wework', 'Asia', 'Ave', 'Vietnam', 'Australia', 'Webinar', 'Beverage']"
645133,"['OnPoint', 'Alibaba', 'Shopee', 'netizens']","['Lazada', 'Vietnam']"
645513,"['CollabDeen', 'WordPress', 'TigerHall', 'Revolut', 'Valve', 'Quipper', 'Apollo', 'Shopee', 'EngageRocket', 'SaveOurFaves', 'StashAway', 'Sony', 'COVID', 'app', 'HappyFresh', 'Casio', 'BambooCloud', 'Baidu', 'Offline', 'TapaoforCause', 'Razer', 'SEAcosystem', 'Ruangguru', 'Digital', 'HelloTalk', 'DynaTrace', 'Geniebook', 'SenseTime', 'SupportStartups', 'Carousell', 'SGPAYSITFORWARD', 'TCM', 'Zenius', 'LoveYourLocalSG', 'LottieFiles', 'zVentures', 'LightInTheBox', 'VenturesList', 'PPE', 'GrabFood', 'mosques', 'Healthcare', 'Stripe', 'Classum', 'Fintech', 'Samsung']","['Laos', 'Singapore', 'AI', 'Byju', 'Wuhan', 'Cambodia', 'Kokkiri', 'PolicyPal', 'SG', 'India', 'Zhejiang', 'Rapyd', 'Indonesia', 'China', 'Snapask', 'Hanoi', 'AirAsia', 'Asia', 'Teleport', 'Japan', 'Thailand', 'US', 'UK', 'Horangi', 'Malaysia', 'Tripadvisor', 'Alibaba']"
645484,"['Proptech', 'SensorFlow']","['US', 'Singapore', 'Lorient', 'Europe', 'Japan', 'Australia']"
645502,"['Swiggy', 'Bengaluru']","['Asia', 'Swiggy', 'India']"
645482,"['OYOprenuers', 'Oyo', 'Softbank']","['US', 'India', 'China']"
645403,"['Veale', 'Disney', 'app', 'OTT', 'Fox', 'Hotstar', 'Star', 'IPL', 'Netflix', 'Facebook', 'HBO', 'Showtime', 'PricewaterhouseCoopers', 'Amazon', 'Futuresource', 'Apple']","['US', 'Hotstar', 'Asia', 'IPL', 'UK', 'India', 'China']"
645462,"['Carousell', 'SGAG', 'SGPAYSITFORWARD', 'Castlery', 'Youth']","['Asia', 'Singapore']"
645431,"['Tianyancha', 'NEEQ', 'fintech']","['Shanghai', 'Baicheng', 'Shenzhen', 'Beijing', 'Chongqing', 'China', 'Alibaba', 'Wujiang', 'KrAsia']"
645425,"['Creativepreneur', 'Amartha', 'fintech', 'Ruangguru']","['US', 'Devara', 'Instagram', 'Indonesia', 'KrAsia']"
645418,"['Gojek', 'Indomaret', 'Northstar']","['Singapore', 'Indonesia']"
645400,"['Facebook', 'Jio', 'RIL', 'WhatsApp', 'Ovo']","['GoPay', 'Jio', 'India', 'Indonesia']"
